headword,pinyin_tone,pinyin_plain,definition
磕牙料嘴,kēyáliàozuǐ,keyaliaozui,多嘴多舌。
咳声叹气,hāishēngtànqì,haishengtanqi,因忧伤、烦闷或痛苦而发出叹息的声音。
咳唾成珠,ké　tuòchéngzhū,ke　tuochengzhu,咳唾咳嗽吐唾沫，比喻谈吐、议论。咳”也写作欬”。比喻言辞精当，议论高明。也形容文词极其优美。
咳珠唾玉,kézhūtuòyù,kezhutuoyu,比喻为文措辞优美。
可发一噱,kěfāyījué,kefayijue,真引人发笑。
可见一斑,kějiànyībān,kejianyiban,斑杂色的花纹或斑点。比喻见到事物的一少部分也能推知事物的整体。
可泣可歌,kěqìkěgē,keqikege,形容英勇悲壮的感人事迹。同可歌可泣”。
可望不可即,kěwàngbùkějí,kewangbukeji,即接近。能望见，但达不到或不能接近。常比喻目前还不能实现的事物。
可望而不可及,kěwàngérbùkějí,kewangerbukeji,指只可仰望而不可接近。
可心如意,kěxīnrúyì,kexinruyi,符合心意。
可有可无,kěyǒukěwú,keyoukewu,可以有，也可以没有。指有没有都无关紧要。
渴尘万斛,kěchénwànhú,kechenwanhu,形容十分想念。
渴而穿井,kěérchuānjǐng,keerchuanjing,比喻事先没准备，临时才想办法。
渴而掘井,kěérjuéjǐng,keerjuejing,到口渴才掘井。比喻事先没有准备，临时才想办法。
渴骥奔泉,kějìbēnquán,kejibenquan,骥骏马。如同骏马口渴思饮，飞快奔赴甘泉一般。形容书法笔势矫健。也比喻迫切的欲望。
渴者易饮,kězhěyìyǐn,kezheyiyin,口渴的人喝什么都觉得甘甜。旧时比喻久经苛政而最知对德政感恩。
克爱克威,kèàikèwēi,keaikewei,指恩威得当而使人心悦诚服。
克传弓冶,kèchuángōngyě,kechuangongye,犹克绍箕裘。比喻能继承父祖的事业。
克逮克容,kèdǎikèróng,kedaikerong,指能和顺而宽容。
克伐怨欲,kèfáyuànyù,kefayuanyu,①指好胜、骄傲、忌刻、贪婪四种恶德。②指关于四种恶德的理论。
克己复礼,kèjǐfùlǐ,kejifuli,克克制。儒家指约束自己，使每件事都归于礼”。
克己慎行,kèjǐshènxíng,kejishenxing,克己克制自己；慎谨慎。约束自己，小心做事。
克肩一心,kèjiānyīxīn,kejianyixin,指能一心以事君。
克俭克勤,kèjiǎnkèqín,kejiankeqin,克能够。既能勤劳，又能节俭。
克尽厥职,kèjìnjuézhí,kejinjuezhi,厥他的。能够尽到职责，做好自己的工作。
克绍箕裘,kèshàojīqiú,keshaojiqiu,比喻能继承父祖的事业。
克嗣良裘,kèsìliángqiú,kesiliangqiu,比喻能继承父祖的事业。同克绍箕裘”。
刻薄寡思,kèbóguǎsī,keboguasi,寡少。待人说话冷酷无情，不厚道。
刻不待时,kèbùdàishí,kebudaishi,谓时间紧迫。
刻不容松,kèbùróngsōng,keburongsong,片刻也不能松懈。
刻翠裁红,kècuìcáihóng,kecuicaihong,比喻极力修饰词藻。
刻骨崩心,kègǔbēngxīn,kegubengxin,指仇恨极深。
刻骨仇恨,kègǔchóuhèn,keguchouhen,永记心头的深仇大恨。
刻骨镂心,kègǔlòuxīn,kegulouxin,铭刻在心灵深处。形容记忆深刻，永远不忘。
刻骨相思,kègǔxiāngsī,keguxiangsi,形容思念之深，历久难移。
刻鹄成鹜,kèhúchéngwù,kehuchengwu,比喻模仿的虽然不逼真，但还相似。同刻鹄类鹜”。
刻鹄类鹜,kèhúlèiwù,kehuleiwu,刻刻画；鹄天鹅；类似，象；鹜鸭子。画天鹅不成，仍有些象鸭子。比喻模仿的虽然不逼真，但还相似。
刻画入微,kèhuàrùwēi,kehuaruwei,微细小。精心细致地描摹，连极小之处也不大意。形容认真细致，一丝不苟。
刻画无盐,kèhuàwúyán,kehuawuyan,无盐传说中的古代丑女。精细地描摹丑女无盐。比喻以丑比美，引喻比拟得不恰当。
刻肌刻骨,kèjīkègǔ,kejikegu,形容感受极深刻。
刻苦耐劳,kèkǔnàiláo,kekunailao,刻苦很能吃苦；耐禁得起、受得住。工作勤奋，经得住繁重的劳累。
刻木为鹄,kèmùwéihú,kemuweihu,比喻仿效虽不逼真，但还相似。
刻木为吏,kèmùwéilì,kemuweili,意思是不能受狱吏的污辱，即使是木头做的狱吏也不能见他。形容狱吏的凶暴可畏。
刻雾裁风,kèwùcáifēng,kewucaifeng,比喻擅长山水风光描写。
刻意经营,kèyìjīngyíng,keyijingying,刻意用尽心思；经营计划管理。指用心筹画。
刻意求工,kèyìqiúgōng,keyiqiugong,工精致、完好。用尽心思使文章或工艺品更精巧。
刻章琢句,kèzhāngzhuójù,kezhangzhuoju,修饰琢磨文章的细节。
刻足适屦,kèzúshìjù,kezushiju,屦麻制的单底鞋。按照鞋的大小来削自己的脚。比喻主次颠倒。
客死他乡,kèsǐtāxiāng,kesitaxiang,客死死在异乡或国外。死在离家乡很遥远的地方。
恪守不渝,kèshǒubùyú,keshoubuyu,严格遵守，决不改变。
恪守成宪,kèshǒuchéngxiàn,keshouchengxian,恪守谨守。谨守既定的法令，毫不通融。
课语讹言,kèyǔéyán,keyueyan,多嘴多舌，胡言乱语。
课嘴撩牙,kèzuǐliáoyá,kezuiliaoya,搬唇弄舌。课，用同嗑”。
嗑牙料嘴,kēyáliàozuǐ,keyaliaozui,多嘴多舌。
溘然长逝,kèránchángshì,keranchangshi,指死去。
溘然长往,kèránchángwǎng,keranchangwang,溘忽然。指人突然死亡，常作悼念死者用词。
溘先朝露,kèxiānzhāolù,kexianzhaolu,指生命比朝露消失得还快。形容死得过早。
肯构肯堂,kěngòukěntáng,kengoukentang,堂立堂基；构盖屋。原意是儿子连房屋的地基都不肯做，哪里还谈得上肯盖房子◇反其意而用之，比喻儿子能继承父亲的事业。
肯堂肯构,kěntángkěngòu,kentangkengou,堂立堂基；构盖屋。原意是儿子连房屋的地基都不肯做，哪里还谈得上肯盖房子◇反其意而用之，比喻儿子能继承父亲的事业。
坑绷拐骗,kēngbēngguǎipiàn,kengbengguaipian,指以欺手段捞取钱财，陷害他人。亦作坑蒙拐骗”。
坑灰未冷,kēnghuīwèilěng,kenghuiweileng,比喻时间极为短暂、匆促。
坑家败业,kēngjiābàiyè,kengjiabaiye,产业散尽，家道没落。
坑蒙拐骗,kēngméngguǎipiàn,kengmengguaipian,指以欺骗手段捞取钱财，陷害他人。
硁硁之愚,kēngkēngzhīyú,kengkengzhiyu,硁硁浅陋而又固执的样子。坚持自己看法的谦词。
铿金霏玉,kēngjīnfēiyù,kengjinfeiyu,形容文词音节铿锵，不同凡响。
铿金戛玉,kēngjīnjiáyù,kengjinjiayu,形容文词音节铿锵有力。
铿锵有力,kēngqiāngyǒulì,kengqiangyouli,形容声音响亮而有劲。铿镪有节奏而响亮的声音。
铿镪顿挫,kēngqiāngdùncuò,kengqiangduncuo,铿镪有节奏而响亮的声音。形容音律和谐有力、动听。
空洞无物,kōngdòngwúwù,kongdongwuwu,空空洞洞，没有什么内容。多指言谈、文章极其空泛。
空费词说,kōngfèicíshuō,kongfeicishuo,说的话别人不听，等于白说。
空腹便便,kōngfùpiánpián,kongfupianpian,便便肥胖的样子。比喻并无真才实学。
空腹高心,kōngfùgāoxīn,kongfugaoxin,腹内空虚而目空一切。形容并无真才实学。
空谷白驹,kōnggǔbáijū,konggubaiju,驹小壮的马≤好的一匹折马，却放在山谷里不用。比喻不能任用贤能。
空谷传声,kōnggǔchuánshēng,kongguchuansheng,在山谷里叫喊一声，立刻听到回声。比喻反应极快。
空谷幽兰,kōnggǔyōulán,kongguyoulan,山谷中优美的兰花。形容十分难得，常用来比喻人品高雅。
空话连篇,kōnghuàliánpiān,konghualianpian,连篇整篇。整篇都是空话，缺乏具体内容。
空室清野,kōngshìqīngyě,kongshiqingye,在对敌斗争时，把家里的东西和田里的农产品藏起来，使敌人到来后什么也得不到，什么也利用不上。
空谈快意,kōngtánkuàiyì,kongtankuaiyi,快意使内心感到痛快。信口开河地高谈阔论，却不付诸行动，只是为了口头痛快。
空心汤圆,kōngxīntāngyuán,kongxintangyuan,比喻徒有虚名而无实利或不能落实的诺言。
孔情周思,kǒngqíngzhōusī,kongqingzhousi,指儒学的思想、情懆。孔，孔子；周，周公。
孔思周情,kǒngsīzhōuqíng,kongsizhouqing,指儒学的思想、情懆。同孔情周思”。
孔武有力,kǒngwǔyǒulì,kongwuyouli,孔甚，很。形容人很有力气。
孔席不暖,kǒngxíbùnuǎn,kongxibunuan,指孔子急于推行其道，到处奔走，每至一处，坐席未暖，又急急他往，不暇安居。
孔席不适,kǒngxíbùshì,kongxibushi,指孔子急于推行其道，到处奔走，每至一处，坐席未暖，又急急他往，不暇安居。同孔席不暖”。
孔席墨突,kǒngxímòtū,kongximotu,原意是孔子、墨子四处周游，每到一处，坐席没有坐暖，灶突没有熏黑，又匆匆地到别处去了。形容忙于世事，各处奔走。
恐后无凭,kǒnghòuwúpíng,konghouwuping,怕以后没有个凭证。旧时契约文书的套语，常与立次存照”连用。
恐后争先,kǒnghòuzhēngxiān,konghouzhengxian,指害怕落后，追求上进。
恐慌万状,kǒnghuāngwànzhuàng,konghuangwanzhuang,恐害怕；慌惊慌；状情状。形容害怕惊慌到极点。
恐遭物议,kǒngzāowùyì,kongzaowuyi,物这里指人；议议论。担心遭到众人的非议。
控名责实,kòngmíngzéshí,kongmingzeshi,控引；责求。使名声与实际相符。
抠心挖肚,kōuxīnwādù,kouxinwadu,把心肚挖出来。形容费心思索。
抠心挖血,kōuxīnwāxuè,kouxinwaxue,犹言抠心挖肚。形容费心思索。
口不二价,kǒubùèrjià,koubuerjia,指卖物者不说两种价钱。
口不应心,kǒubùyìngxīn,koubuyingxin,应符合。心口不一致。
口不择言,kǒubùzéyán,koubuzeyan,指情急时说话不能正确用词表达或指说话随便。
口齿伶俐,kǒuchǐlínglì,kouchilingli,口齿说话、言谈；伶俐聪明，灵活。谈吐麻利，应付自如。形容口才好。
口齿生香,kǒuchǐshēngxiāng,kouchishengxiang,嘴和牙齿都有香味。比喻所读的作品意味深长，隽永宜人。
口出不逊,kǒuchūbùxùn,kouchubuxun,逊谦逊、恭顺。说出的话非常不谦逊。
口出大言,kǒuchūdāyán,kouchudayan,说大话。形容说话狂妄。
口出狂言,kǒuchūkuángyán,kouchukuangyan,嘴里说出狂妄自大的话。指说话狂妄、放肆。也指胡说八道。
口传心授,kǒuchuánxīnshòu,kouchuanxinshou,指师徒间口头传授，内心领会。
口呆目瞪,kǒudāimùdèng,koudaimudeng,嘴说不出话，眼发直。形容很吃惊的样子。
口呆目钝,kǒudāimùdùn,koudaimudun,形容很吃惊的样子。同口呆目瞪”。
口多食寡,kǒuduōshíguǎ,kouduoshigua,吃饭的人多，但是食物很少。
口耳并重,kǒuěrbìngzhòng,kouerbingzhong,对说和听的训练同等重视。
口耳相承,kǒuěrxiāngchéng,kouerxiangcheng,指接受传闻。
口耳相传,kǒuěrxiāngchuán,kouerxiangchuan,口说耳听地往下传授。
口耳之学,kǒuěrzhīxué,kouerzhixue,指只知道耳朵进口里出的一些皮毛之见，而没有真正的学识。
口沸目赤,kǒufèimùchì,koufeimuchi,形容人情绪激动，声音脸色都很严厉的样子。
口服心服,kǒufúxīnfú,koufuxinfu,服信服。心里嘴上都信服。指真心信服。
口腹之累,kǒufùzhīlěi,koufuzhilei,口腹指饮食；累连累。指因为饮食而受到牵累。
口干舌焦,kǒugànshéjiāo,kouganshejiao,形容话说得很多或费尽口舌。同口燥唇干”。
口干舌燥,kǒugānshézào,kouganshezao,燥干。口舌都干了。形容说话太多。
口含天宪,kǒuhántiānxiàn,kouhantianxian,天宪指朝廷法令。比喻说话就是法律，可以决定人的生死。
口惠而实不至,kǒuhuìérshíbùzhì,kouhuiershibuzhi,惠恩惠。只在口头上答应给别人好处，而实际的利益却得不到别人身上。
口讲指画,kǒujiǎngzhǐhuà,koujiangzhihua,一面讲一面用手势帮助表达意思。
口角春风,kǒujiǎochūnfēng,koujiaochunfeng,口角嘴边。原指言语评论如春风之能生长万物◇比喻替人吹嘘或替人说好话。
口角风情,kǒujiǎofēngqíng,koujiaofengqing,口头表示的情爱。
口角生风,kǒujiǎoshēngfēng,koujiaoshengfeng,比喻说话流利，能说会道。
口口相传,kǒukǒuxiāngchuán,koukouxiangchuan,不著文字，口头相传。
口快心直,kǒukuàixīnzhǐ,koukuaixinzhi,有啥说啥，想啥说啥。形容人性情直爽，语言明快。
口轻舌薄,kǒuqīngshébó,kouqingshebo,形容说话刻薄尖酸。
口如悬河,kǒurúxuánhé,kouruxuanhe,形容能说会辨，说起来没个完。同口若悬河”。
口尚乳臭,kǒushàngrǔxiù,koushangruxiu,乳臭奶腥气。嘴里还有奶腥味。表示对年轻人的轻视。
口是心苗,kǒushìxīnmiáo,koushixinmiao,犹言为心声。言语是思想的反映，从一个人的话里可以知道他的思想感情。
口说无凭,kǒushuōwúpíng,koushuowuping,单凭口说，不足为据。
口似悬河,kǒusìxuánhé,kousixuanhe,形容能说会辨，说起来没个完。同口若悬河”。
口诵心惟,kǒusòngxīnwéi,kousongxinwei,诵朗读；惟思考。口中朗诵，心里思考。
口诵心维,kǒusòngxīnwéi,kousongxinwei,口里念诵，心里思考。
口吐珠玑,kǒutǔzhūjī,koutuzhuji,珠、玑都是珠宝，圆的叫珠，不圆的叫玑。形容说话有文采。
口吻生花,kǒuwěnshēnghuā,kouwenshenghua,比喻谈吐文雅。
口无择言,kǒuwúzéyán,kouwuzeyan,指出口皆合道理，无需选择。
口衔天宪,kǒuxiántiānxiàn,kouxiantianxian,比喻说话就是法律，可以决定人的生死。同口含天宪”。
口谐辞给,kǒuxiécígěi,kouxiecigei,指言辞诙谐敏捷。
口壅若川,kǒuyōngruòchuān,kouyongruochuan,比喻禁舆论之害。
口燥唇干,kǒuzàochúngān,kouzaochungan,燥干。口腔和嘴唇都干了。形容话说得很多或费尽口舌。
口直心快,kǒuzhíxīnkuài,kouzhixinkuai,想什么说什么，为人直爽。
口中雌黄,kǒuzhōngcíhuáng,kouzhongcihuang,雌黄即鸡冠石，过去写字用黄纸，写错了就用雌黄涂沫后重写。随口更改说得不恰当的话。比喻言论前后矛盾，没有一定见解。
口中蚤虱,kǒuzhōngzǎoshī,kouzhongzaoshi,比喻极易消灭的敌人，犹如口中之虱。故又作口中虱”。
口坠天花,kǒuzhuìtiānhuā,kouzhuitianhua,比喻指以夸诞之词动人听闻或以甘言骗人。
叩阍无路,kòuhūnwúlù,kouhunwulu,叩敲。阍宫门。无法敲到宫廷的门。形容百姓无处伸冤。亦作叩阍无计”、叩天无路”。
叩马而谏,kòumǎérjiàn,koumaerjian,勒住马头进行规劝。形容竭力进行劝谏。
叩石垦壤,kòushíkěnrǎng,koushikenrang,叩敲打；垦开垦。敲石挖土。指破土动工。
叩心泣血,kòuxīnqìxuè,kouxinqixue,形容悲痛之极。
叩源推委,kòuyuántuīwěi,kouyuantuiwei,指追究其根源。
扣壶长吟,kòuhúchángyín,kouhuchangyin,借指抒发壮怀或不平之气。
扣楫中流,kòujízhōngliú,koujizhongliu,犹中流击楫。比喻立志奋发图强。
扣盘扪钥,kòupánményào,koupanmenyao,比喻不经实践，认识片面，难以得到真知。同扣盘扪烛”。
扣盘扪烛,kòupánménzhú,koupanmenzhu,扣敲；扪摸。比喻不经实践，认识片面，难以得到真知。
扣槃扪籥,kòupánményuè,koupanmenyue,比喻认识片面，未得要领。同扣槃扪烛”。
扣槃扪烛,kòupánménzhú,koupanmenzhu,扣敲；扪摸。比喻认识片面，未得要领。
刳肝沥胆,kūgānlìdǎn,kuganlidan,犹言披肝沥胆。比喻竭诚相见。
刳精呕血,kūjīngǒuxuè,kujingouxue,极言用心劳苦。同刳精鉥心”。
刳精鉥心,kūjīngjiūxīn,kujingjiuxin,极言用心劳苦。
刳胎焚夭,kūtāifényāo,kutaifenyao,剖挖母胎，残害幼体。指凶残不义。
刳胎杀夭,kūtāishāyāo,kutaishayao,指凶残不义。同刳胎焚夭”。
刳心雕肾,kūxīndiāoshèn,kuxindiaoshen,犹言刻骨铭心。表示强烈的情感。
刳形去皮,kūxíngqùpí,kuxingqupi,指忘却形体和家国，而任乎自然。
刳脂剔膏,kūzhītīgāo,kuzhitigao,比喻残酷地剥削。
枯本竭源,kūběnjiéyuán,kubenjieyuan,枯使枯死；本根本；竭竭尽；源源头。指损害事物的根基。
枯骨生肉,kūgǔshēngròu,kugushengrou,犹言起死回生。形容医术高明。也比喻把已经没有希望的事物挽救过来。
枯骨之馀,kūgǔzhīyú,kuguzhiyu,指将死之人。
枯苗望雨,kūmiáowàngyǔ,kumiaowangyu,形容殷切盼望。
枯木发荣,kūmùfāróng,kumufarong,枯萎的树木恢复生机。比喻衰亡的事物重获新生。
枯木生花,kūmùshēnghuā,kumushenghua,枯树开了花。比喻绝处逢生。也比喻不可能实现的事情。
枯木死灰,kūmùsǐhuī,kumusihui,死灰燃烧后余下的冷灰。身如枯木，心如死灰。比喻极其消极悲观。
枯木朽株,kūmùxiǔzhū,kumuxiuzhu,朽腐烂；株露出地面的树桩。枯木头，烂树根。比喻衰朽的力量或衰老无用的人。
枯木再生,kūmùzàishēng,kumuzaisheng,枯死的树木又恢复了生命力。比喻历经挫折又获得生机。
枯脑焦心,kūnǎojiāoxīn,kunaojiaoxin,指竭尽心力。
枯枿朽株,kūniǎoxiǔzhū,kuniaoxiuzhu,枯朽的枝干。形容事物死气沉沉。
枯蓬断草,kūpéngduàncǎo,kupengduancao,干枯、断折的蓬草。因易随风飘散，故亦以喻不由自主，行踪难定。
枯树逢春,kūshùféngchūn,kushufengchun,已枯之树又重获生机。比喻绝境逢生。
枯树开花,kūshùkāihuā,kushukaihua,已经枯死的树又开起花来。比喻绝处逢生获奇迹出现。
枯树生花,kūshùshēnghuā,kushushenghua,枯树开起花来。比喻在绝境中又找到了生路。
枯树生华,kūshùshēnghuā,kushushenghua,比喻在绝境中又找到了生路。
枯体灰心,kūtǐhuīxīn,kutihuixin,身体像枯木心如同死灰。形容极端消极。同枯形灰心”。
枯形灰心,kūxínghuīxīn,kuxinghuixin,身体像枯木心如同死灰。形容极端消极。
枯朽之余,kūxiǔzhīyú,kuxiuzhiyu,指衰病残年。
枯杨生稊,kūyángshēngtí,kuyangshengti,稊植物的嫩芽。枯萎有杨树又长出了芽。旧喻老人娶少妻。
枯鱼病鹤,kūyúbìnghè,kuyubinghe,比喻处境穷困之士。
枯鱼涸辙,kūyúhézhé,kuyuhezhe,枯鱼干鱼；涸辙干的车辙沟。比喻陷入困境。
枯鱼衔索,kūyúxiánsuǒ,kuyuxiansuo,衔含；索绳子。穿在绳上的干鱼。形容事物存在的日子已经不多。
枯鱼之肆,kūyúzhīsì,kuyuzhisi,枯鱼干鱼；肆店铺。卖干鱼的店铺。比喻无法挽救的绝境。
枯耘伤岁,kūyúnshāngsuì,kuyunshangsui,耘除草；岁年谷成熟。耕作不细致，会影响到一年的收成。
枯燥无味,kūzàowúwèi,kuzaowuwei,枯燥单调。形容单调，没有趣味。
枯枝败叶,kūzhībàiyè,kuzhibaiye,败衰败。干枯的树枝，衰败的花叶。形容荒凉、破坏的样子。
枯枝再春,kūzhīzàichūn,kuzhizaichun,枯死的树木又恢复了生命力。比喻历经挫折又获得生机。
枯株朽木,kūzhūxiǔmù,kuzhuxiumu,株露出地面的树根。朽腐朽，腐烂。枯死的树桩，腐朽的树木。比喻衰朽的，没有多大用处的人或物。
哭天喊地,kūtiānhǎndì,kutianhandi,提高嗓门又哭又叫。
苦不堪言,kǔbùkānyán,kubukanyan,堪能。痛苦或困苦到了极点，已经不能用言语来表达。
苦不可言,kǔbùkěyán,kubukeyan,痛苦或困苦到了极点，已经不能用言语来表达。
苦大仇深,kǔdàchóushēn,kudachoushen,形容受峻削压迫的苦，有很大的仇恨。
苦海茫茫,kǔhǎimángmáng,kuhaimangmang,苦海苦难深重如海；茫茫辽阔深远的样子。无穷无尽的苦难。
苦海无边,kǔhǎiwúbiān,kuhaiwubian,原为佛家语，形容深重无比的苦难。惩回头是岸”连用。
苦海无边，回头是岸,kǔhǎiwúbiān，huítóushìàn,kuhaiwubian，huitoushian,佛教语。意指尘世如同苦海，无边无际，只有悟道，才能获得超脱。亦以比喻罪恶虽重，只要悔改，便有出路。
苦尽甜来,kǔjìntiánlái,kujintianlai,艰难的日子过完，美好的日子来到了。
苦口良药,kǔkǒuliángyào,kukouliangyao,好药往往味苦难吃。比喻衷心的劝告，尖锐的批评，听起来觉得不舒服，但对改正缺点错误很有好处。
苦口逆耳,kǔkǒunìěr,kukounier,苦口药吃起来特别苦；逆耳听起来使人感到不舒服。形容真诚的规劝。
苦乐不均,kǔlèbùjūn,kulebujun,均平均。同样的人享受的待遇却不相同。形容待遇不相等。
苦难深重,kǔnànshēnzhòng,kunanshenzhong,遭受的痛苦和灾难既深又重。
苦身焦思,kǔshēnjiāosī,kushenjiaosi,焦焦急。形容人为某事忧心苦思。
苦心积虑,kǔxīnjīlǜ,kuxinjilv,积虑长期地或一再地思考。费尽心思长时间的思考问题。
苦心经营,kǔxīnjīngyíng,kuxinjingying,经营筹划，管理。用尽心思去筹划安排。
苦雨凄风,kǔyǔqīfēng,kuyuqifeng,苦雨久下成灾的雨；凄风寒冷的风。形容天气恶劣◇用来比喻境遇悲惨凄凉。
苦中作乐,kǔzhōngzuòlè,kuzhongzuole,在困苦中勉强自寻欢乐。
楛耘伤岁,kǔyúnshāngsuì,kuyunshangsui,楛粗恶；耘除草；岁年谷成熟。耕作不细致，会影响到一年的收成。
夸多斗靡,kuāduōdòumí,kuaduodoumi,夸夸耀；斗竞争；靡奢华。原指写文章以篇幅多、辞藻华丽夸耀争胜，后也指比赛生动豪华奢侈。
夸父逐日,kuāfùzhúrì,kuafuzhuri,夸父古传说中的人名。夸父拚命追赶太阳。比喻人有大志，也比喻不自量力。
夸夸而谈,kuākuāértán,kuakuaertan,形容说话浮夸不切实际。
夸强道会,kuāqiángdàohuì,kuaqiangdaohui,会能。夸耀自己能力强、本事大。亦作夸强说会”。
姱容修态,kuāróngxiūtài,kuarongxiutai,姱美好；修长远；态志向。美丽的容貌，长远的智慧。
胯下蒲伏,kuàxiàpúfú,kuaxiapufu,蒲伏通匍伏”，指伏地爬行。指汉朝韩信年少时有胯下之辱。
胯下之辱,kuàxiàzhīrǔ,kuaxiazhiru,胯下两条腿之间。从胯下爬过的耻辱。
跨凤乘龙,kuàfèngchénglóng,kuafengchenglong,比喻结成夫妻或成仙。
跨凤乘鸾,kuàfèngchéngluán,kuafengchengluan,凤凤凰；鸾传中凤凰一类的鸟。夫妻骑着凤，乘着鸾。比喻飞黄腾达，意得志满。
跨山压海,kuàshānyāhǎi,kuashanyahai,跨过高山，接近大海。喻势力扩展。
快刀斩乱丝,kuàidāozhǎnluànsī,kuaidaozhanluansi,比喻做事果断，能采取坚决有效的措施，很快解决复杂的问题。同快刀斩乱麻”。
快刀斩麻,kuàidāozhǎnmá,kuaidaozhanma,比喻做事果断，能采取坚决有效的措施，很快解决复杂的问题。同快刀斩乱麻”。
快犊破车,kuàidúpòchē,kuaidupoche,跑得快的牛犊会把车拉翻。比喻年轻气盛的人应当懂得克制。
快人快事,kuàirénkuàishì,kuairenkuaishi,爽快人办爽快事。
快人快性,kuàirénkuàixìng,kuairenkuaixing,指为人爽直痛快，不忸怩作态。
快心满意,kuàixīnmǎnyì,kuaixinmanyi,形容心满意足，事情的发展完全符合心意。同快心遂意”。
快心满志,kuàixīnmǎnzhì,kuaixinmanzhi,形容心满意足，事情的发展完全符合心意。同快心遂意”。
快心遂意,kuàixīnsuíyì,kuaixinsuiyi,犹言称心如意。形容心满意足，事情的发展完全符合心意。
快意当前,kuàiyìdāngqián,kuaiyidangqian,快意爽快舒适。指痛快一时。
郐下无讥,kuàixiàwújī,kuaixiawuji,指微不足道。
宽宏大度,kuānhóngdàdù,kuanhongdadu,形容度量大，能容人。
宽洪大度,kuānhóngdàdù,kuanhongdadu,指待人宽厚，度量大，能容人。同宽宏大度”。
宽洪海量,kuānhónghǎiliàng,kuanhonghailiang,形容度量大，能容人。同宽宏大量”。
宽怀大度,kuānhuáidàdù,kuanhuaidadu,胸怀宽阔，度量大。
宽豁大度,kuānhuōdàdù,kuanhuodadu,胸怀宽阔，度量大。
宽猛并济,kuānměngbìngjì,kuanmengbingji,指政治措施要宽和严互相补充。同宽猛相济”。
宽猛相济,kuānměngxiāngjì,kuanmengxiangji,宽宽容；猛严厉，猛烈；济相辅而行。指政治措施要宽和严互相补充。
宽仁大度,kuānréndàdù,kuanrendadu,大度气量大，能容人。为人宽厚，心胸豁达。
宽以待人,kuānyǐdàirén,kuanyidairen,宽宽容。以宽宏大度的态度来对待别人。
款款而谈,kuǎnkuǎnértán,kuankuanertan,款诚恳。诚恳而从容的谈话。
款款深深,kuǎnkuǎnshēnshēn,kuankuanshenshen,指情意诚挚深切。
款曲周至,kuǎnqǔzhōuzhì,kuanquzhouzhi,款曲殷勤。待人殷勤，照顾周到细致。
款学寡闻,kuǎnxuéguǎwén,kuanxueguawen,形容学问浅、见识少。
款语温言,kuǎnyǔwēnyán,kuanyuwenyan,指诚恳而温和的言辞。
匡鼎解颐,kuāngdǐngjiěyí,kuangdingjieyi,指讲诗清楚明白，非常动听。
匡国济时,kuāngguójìshí,kuangguojishi,匡正国家，挽救时局。
匡衡凿壁,kuānghéngzáobì,kuanghengzaobi,后以之为刻苦读书的典实。
匡救弥缝,kuāngjiùmífèng,kuangjiumifeng,指纠正错误，弥补过失。
匡乱反正,kuāngluànfǎnzhèng,kuangluanfanzheng,消除混乱局面，恢复正常秩序。
匡谬正俗,kuāngmiùzhèngsú,kuangmiuzhengsu,纠正错误，矫正陋习。
匡其不逮,kuāngqíbùdǎi,kuangqibudai,匡纠正。逮及，达到。不逮达不到的地方。对于达不到的地方给予纠正或帮助。亦作匡所不逮”。
匡时济世,kuāngshíjìshì,kuangshijishi,匡纠正。济救助。挽救动荡的局势。使其转危为安。
匡时济俗,kuāngshíjìsú,kuangshijisu,匡纠正；济救助。拯救社会时局和风气，使之归于正道。
匡俗济时,kuāngsújìshí,kuangsujishi,匡纠正；济救助。拯救社会时局和风气，使之归于正道。
恇怯不前,kuāngqièbùqián,kuangqiebuqian,恇怯恐惧畏缩。恐惧畏缩，不敢向前。
筐箧中物,kuāngqièzhōngwù,kuangqiezhongwu,比喻平常的事情。
狂吠狴犴,kuángfèibìàn,kuangfeibian,吠狗叫；狴犴传说中一种野兽名，这里指狂犬。狂犬乱叫。
狂风暴雨,kuángfēngbàoyǔ,kuangfengbaoyu,指大风大雨。亦比喻猛烈的声势或处境险恶。
狂风恶浪,kuángfēngèlàng,kuangfengelang,恶浪凶猛的浪头。比喻形势或处境非常险恶、危急。
狂风怒号,kuángfēngnùháo,kuangfengnuhao,怒愤怒，发怒；号号叫。大风刮得像发怒一样号叫。
狂风骤雨,kuángfēngzhòuyǔ,kuangfengzhouyu,原形容大风大雨◇也比喻处境险恶或声势猛烈。
狂蜂浪蝶,kuángfēnglàngdié,kuangfenglangdie,比喻轻薄放荡的男子。
狂瞽之言,kuánggǔzhīyán,kuangguzhiyan,狂狂妄。瞽瞎眼，盲目。指愚妄无知的言论。旧时常用作自谦之辞。亦作狂瞽之说”。
狂轰滥炸,kuánghōnglànzhà,kuanghonglanzha,指疯狂地轰炸。
狂奴故态,kuángnúgùtài,kuangnugutai,狂奴对狂士的亲昵称呼；故态老样子，老脾气。旧称狂士的老脾气。
狂朋怪侣,kuángpéngguàilǚ,kuangpengguailv,行为狂放不循常轨的朋友。
狂朋怪友,kuángpéngguàiyǒu,kuangpengguaiyou,行为狂放不循常轨的朋友。同狂朋怪侣”。
狂朋恠友,kuángpéngguàiyǒu,kuangpengguaiyou,行为狂放不循常轨的朋友。同狂朋怪侣”。
